feature,importance
"kubelet_container_log_filesystem_used_bytes{container=""""calico-kube-controllers"""",endpoint=""""https-metrics"""",instance=""""192.168.122.216:10250"""",job=""""kubelet"""",metrics_path=""""/metrics"""",namespace=""""kube-system"""",node=""""k8s-master-1"""",pod=""""calico-kube-controllers-d4dc4cc65-xstsh"""",service=""""kube-prometheus-stack-kubelet"""",uid=""""11278896-d075-4ca8-a85e-390fc2382959""""}",0.05
"apiserver_request_duration_seconds_bucket{component=""""apiserver"""",endpoint=""""https"""",group=""""admissionregistration.k8s.io"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""5"""",namespace=""""default"""",resource=""""validatingadmissionpolicybindings"""",scope=""""cluster"""",service=""""kubernetes"""",verb=""""LIST"""",version=""""v1""""}",0.05
"etcd_request_duration_seconds_bucket{endpoint=""""https"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""60"""",namespace=""""default"""",operation=""""list"""",service=""""kubernetes"""",type=""""bgpadvertisements.metallb.io""""}",0.04
"kubelet_runtime_operations_duration_seconds_bucket{endpoint=""""https-metrics"""",instance=""""192.168.122.216:10250"""",job=""""kubelet"""",le=""""745.0580596923828"""",metrics_path=""""/metrics"""",namespace=""""kube-system"""",node=""""k8s-master-1"""",operation_type=""""image_fs_info"""",service=""""kube-prometheus-stack-kubelet""""}",0.04
"etcd_request_duration_seconds_bucket{endpoint=""""https"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""5"""",namespace=""""default"""",operation=""""list"""",service=""""kubernetes"""",type=""""ipreservations.crd.projectcalico.org""""}",0.04
"kubelet_container_log_filesystem_used_bytes{container=""""vulnerable-log4j-app"""",endpoint=""""https-metrics"""",instance=""""192.168.122.228:10250"""",job=""""kubelet"""",metrics_path=""""/metrics"""",namespace=""""default"""",node=""""k8s-worker-2"""",pod=""""vulnerable-log4j-app-7fc859dfc8-nj5h8"""",service=""""kube-prometheus-stack-kubelet"""",uid=""""5410e426-38ee-47cd-a62f-278528bc0314""""}",0.04
"etcd_request_duration_seconds_bucket{endpoint=""""https"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""0.8"""",namespace=""""default"""",operation=""""list"""",service=""""kubernetes"""",type=""""ipreservations.crd.projectcalico.org""""}",0.03
"etcd_request_duration_seconds_bucket{endpoint=""""https"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""3"""",namespace=""""default"""",operation=""""list"""",service=""""kubernetes"""",type=""""bgpadvertisements.metallb.io""""}",0.03
"etcd_request_duration_seconds_bucket{endpoint=""""https"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""30"""",namespace=""""default"""",operation=""""list"""",service=""""kubernetes"""",type=""""ipreservations.crd.projectcalico.org""""}",0.03
"etcd_request_duration_seconds_bucket{endpoint=""""https"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""4"""",namespace=""""default"""",operation=""""list"""",service=""""kubernetes"""",type=""""kongconsumergroups.configuration.konghq.com""""}",0.03
"etcd_request_duration_seconds_bucket{endpoint=""""https"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""6"""",namespace=""""default"""",operation=""""list"""",service=""""kubernetes"""",type=""""ipreservations.crd.projectcalico.org""""}",0.020201895678999125
"node_network_transmit_fifo_total{container=""""node-exporter"""",device=""""calid03052ba145"""",endpoint=""""http-metrics"""",instance=""""192.168.122.228:9100"""",job=""""node-exporter"""",namespace=""""prom"""",pod=""""kube-prometheus-stack-prometheus-node-exporter-dp6w9"""",service=""""kube-prometheus-stack-prometheus-node-exporter""""}",0.02
"etcd_request_duration_seconds_bucket{endpoint=""""https"""",instance=""""192.168.122.216:6443"""",job=""""apiserver"""",le=""""4"""",namespace=""""default"""",operation=""""list"""",service=""""kubernetes"""",type=""""bgpadvertisements.metallb.io""""}",0.02
"node_network_transmit_fifo_total{container=""""node-exporter"""",device=""""enp1s0"""",endpoint=""""http-metrics"""",instance=""""192.168.122.228:9100"""",job=""""node-exporter"""",namespace=""""prom"""",pod=""""kube-prometheus-stack-prometheus-node-exporter-dp6w9"""",service=""""kube-prometheus-stack-prometheus-node-exporter""""}",0.02
"kubelet_container_log_filesystem_used_bytes{container=""""testpodetcd"""",endpoint=""""https-metrics"""",instance=""""192.168.122.233:10250"""",job=""""kubelet"""",metrics_path=""""/metrics"""",namespace=""""default"""",node=""""k8s-worker-1"""",pod=""""testpodetcd"""",service=""""kube-prometheus-stack-kubelet"""",uid=""""32c802d5-3e40-4694-add4-18d9ca4876fc""""}",0.02
